,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
64,Blen,qm108,red,2,8592,true,3H|2H,0.0,1.0,None,,,8Lcube|7H|6M|5Lcube|5M|4M|2Lcube,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,3.0,
65,sarah,qm109,blue,3,3478,true,8H|9H,0.0,1.0,None,None,,1M|1H|3M|3H|4M|4H,0.0,,None,Park,,,0.0,0.0,0.0,0.0,0.0,
66,Nikhil,qm109,blue,1,4663,true,2M,0.0,1.0,None,None,Cube fell ,6M|7H|9M,0.0,Disabled for half the match,Engage,Engage,,,1.0,0.0,0.0,0.0,2.0,
67,Shashwat Dixit,qm109,blue,2,9023,false,5M,0.0,1.0,Engage,Engage,,5Lcube|6Lcube|7Lcube|8M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
68,Chris,qm109,red,1,3767,true,5H,0.0,1.0,Engage,Engage,,6M|4H|3M|3H|2H|1H,0.0,,None,Park,,,0.0,0.0,0.0,0.0,0.0,
69,alexander,qm109,red,3,4905,true,8M|8H,0.0,1.0,None,None,,9M|9H|7M|7H|6H,0.0,,Engage,Engage,,Double Engage,0.0,0.0,0.0,0.0,4.0,
70,Blen,qm109,red,2,8016,true,3Lcube,1.0,0.0,None,,,6M|4M|2H|1H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
71,sarah,qm11,blue,3,195,true,2Lcube|2M,1.0,1.0,None,None,,1Lcone|1M|1H|2Lcone|3M|3H|4M,1.0,,Engage,Engage,3,,0.0,1.0,0.0,0.0,4.0,
72,Shashwat,qm11,blue,2,1123,true,8M|8H,0.0,1.0,None,None,,2H|4Lcube|5Lcube|5M|5H|9H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
73,Nikhil,qm11,blue,1,1468,true,4H,0.0,0.0,Engage,Engage,,6Lcone|6M|6H|7M|9M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,
74,alexander,qm11,red,3,503,true,2M,0.0,1.0,None,None,,9H|8Lcube|7H|5H|2H,0.0,,Engage,Dock,,Triple Engage,0.0,0.0,0.0,0.0,4.0,
75,Sydney,qm11,red,1,3538,true,4H,0.0,1.0,None,None,,8H|6M|6H|4M|3M|3H|1H,0.0,,Engage,Engage,4,,0.0,0.0,0.0,0.0,4.0,Slightly reckless driving 
76,Blen ,qm11,red,2,6657,true,7Lcube,0.0,1.0,None,,,9Lcube|7Lcube|5M,1.0,docked and engaged in the middle of teleop,Engage,Engage,4,docked and engaged at 40 seconds ,0.0,0.0,0.0,0.0,0.0,
